date,day_of_year,month,actual_wh,direct_point_wh,direct_q10_wh,mc_mean_point_wh,mc_p10_point_wh,mc_p50_point_wh,mc_p90_point_wh,mc_mean_q10_wh,mc_p50_q10_wh,analog_unique_days
2021-09-18,261,9,24243.0,26751.16015625,11188.2685546875,58426.371399902346,18774.70703125,61287.478515625,97481.9765625,34142.00385058594,28556.90625,171
2021-09-19,262,9,27254.0,27727.63671875,12623.1845703125,57266.80715576172,18774.70703125,56416.390625,94892.75000000003,32651.67834265137,28207.50390625,172
2021-09-20,263,9,58332.0,65597.8984375,29130.28515625,58364.43417138672,17318.529296875,62591.77734375,97267.1484375,33959.280051635746,29970.2783203125,171
2021-09-21,264,9,32746.0,37668.2421875,19478.103515625,56787.174388671876,18759.3154296875,58727.23046875,95777.2109375,32724.72685131836,28207.50390625,171
2021-09-22,265,9,19942.0,22911.576171875,12144.1962890625,54699.755577636715,17318.529296875,53049.646484375,91798.8125,31018.982869140626,23848.52734375,172
2021-09-23,266,9,18247.0,19634.3359375,10594.5341796875,54599.24022851563,17145.1953125,51933.001953125,93118.08281250003,31206.10077685547,23381.9375,172
2021-09-24,267,9,52108.0,47892.9765625,22084.46484375,53788.494693359375,16134.162109375,52456.83984375,92721.6359375,31010.925969604494,23361.923828125,171
2021-09-25,268,9,16309.0,22569.9375,8485.84375,54584.44005322266,14711.4150390625,55301.87109375,91888.30625000002,32002.600342773436,28207.50390625,171
2021-09-26,269,9,67988.0,58271.91796875,27648.482421875,53284.943765625,15927.0830078125,50617.5703125,92693.75,31138.98726660156,21959.3046875,171
2021-09-27,270,9,63907.0,64631.21484375,34643.390625,53682.76824169922,15927.0830078125,51367.65234375,92693.75,31667.0408873291,21959.3046875,172
2021-09-28,271,9,7584.0,11471.2578125,5959.3466796875,51450.83898876953,15805.516210937507,46154.4453125,91628.6171875,29846.586031738283,20842.8515625,172
2021-09-29,272,9,59702.0,55854.20703125,29307.498046875,52985.288013671874,12668.5595703125,50617.5703125,92972.609375,31565.100023193358,22692.2265625,172
2021-09-30,273,9,45423.0,41238.77734375,18942.767578125,52050.21193261719,16236.554687500002,45316.03125,92972.609375,30581.416556762695,20501.033203125,170
2021-10-01,274,10,90380.0,79591.5859375,48516.2578125,49120.96392724609,11517.919628906257,44300.16796875,91597.1328125,28268.30396029663,18991.14453125,172
2021-10-02,275,10,59732.0,54134.9296875,29760.759765625,49545.60963232422,14006.23828125,43071.109375,91595.7109375,28214.70242268753,18924.984375,171
2021-10-03,276,10,44098.0,45486.74609375,20869.990234375,50192.37171020508,12514.232421875,45754.57421875,91628.6171875,29316.649471237182,21081.9677734375,171
2021-10-04,277,10,17366.0,20923.087890625,9583.0458984375,49250.90920532226,13838.341796875,44016.052734375,88548.484375,28377.603774837495,20366.685546875,170
2021-10-05,278,10,25299.0,24083.080078125,9550.134765625,49116.8838762207,11472.3486328125,45316.03125,89609.3046875,28380.128981658934,20842.8515625,172
2021-10-06,279,10,28277.0,29809.21875,12443.7197265625,47470.91454296875,12585.00546875,42195.92578125,87904.34375,27364.485282016754,18991.14453125,171
2021-10-07,280,10,86332.0,80394.8984375,48600.4609375,46190.19574804688,11610.81328125,41840.8125,87497.1328125,26527.043720016478,18306.62109375,172
2021-10-08,281,10,88403.0,79181.9375,63174.921875,44282.926082763675,10307.708984375,40325.5625,86347.6015625,25540.098105171204,17341.109375,172
2021-10-09,282,10,99777.0,91163.3125,75171.0234375,42957.84684033203,10307.708984375,38425.125,87904.34375,24422.07190497589,15869.8447265625,172
2021-10-10,283,10,98221.0,91514.578125,82289.6953125,42511.393715576174,10097.513671875,39893.30859375,82964.453125,24125.25673809433,16837.14453125,171
2021-10-11,284,10,31266.0,26079.037109375,10018.798828125,40583.16308544922,8968.8720703125,37681.91796875,77275.2890625,22533.235860996247,15637.76953125,171
2021-10-12,285,10,31201.0,28583.318359375,10036.8291015625,38482.7877644043,7739.31884765625,35977.49609375,75246.4921875,21160.574278999327,13337.5556640625,172
2021-10-13,286,10,83268.0,72508.2265625,41748.4296875,38920.64084082031,7739.31884765625,37122.66015625,75288.390625,21452.304592918397,14001.54638671875,171
2021-10-14,287,10,13699.0,12057.880859375,6170.810546875,37608.6562121582,6925.45263671875,33073.08203125,73472.53125,20677.660425872804,13325.86376953125,172
2021-10-15,288,10,8895.0,9177.515625,4278.5595703125,36276.899671875,7354.0244140625,34364.37890625,71093.625,18913.260970527648,13142.947265625,171
2021-10-16,289,10,55677.0,60524.953125,30014.4921875,35251.63698242188,6737.392578125,29737.982421875,72463.984375,18684.851152606963,12127.2626953125,172
2021-10-17,290,10,26751.0,29566.703125,11792.4365234375,35322.1188696289,6735.48125,32233.71875,70861.96640625001,18641.211821796416,13052.0341796875,172
2021-10-18,291,10,5973.0,7312.9267578125,4287.42529296875,35433.63408496094,6718.279296875,30396.85546875,72463.984375,18956.031729293823,12247.029296875,172
2021-10-19,292,10,16314.0,17608.0546875,8285.9765625,33815.011145507815,5963.59765625,29510.5078125,70403.115625,18054.39194157028,12127.2626953125,171
2021-10-20,293,10,29973.0,33007.37109375,13692.1708984375,34515.18298022461,5963.59765625,32233.71875,70836.2265625,18382.34817934418,13052.0341796875,172
2021-10-21,294,10,6751.0,13015.396484375,2321.1171875,32292.002971191407,5707.9609375,27255.8828125,69994.296875,17158.44103376007,10208.2861328125,172
2021-10-22,295,10,38144.896103896106,35888.37109375,15347.47265625,31074.610498291015,5565.5302734375,26157.837890625,66067.5234375,16004.843380729675,10364.076171875,172
2021-10-23,296,10,45768.0,49905.7734375,18564.296875,29951.94811303711,5033.1376953125,24471.966796875,66067.5234375,15292.888156692505,9746.1591796875,171
2021-10-24,297,10,63435.0,54586.87109375,27771.431640625,30371.161296264647,5016.058203125001,25504.279296875,62325.96875,15502.68842773056,9842.1669921875,170
2021-10-25,298,10,70424.0,66385.7109375,41614.0703125,28485.722900878907,4507.22607421875,22506.7890625,60099.41523437502,14351.339433418274,9162.626953125,172
2021-10-26,299,10,7455.0,9865.0732421875,4563.56982421875,28456.960666259765,4658.0185546875,21935.986328125,61826.65234375,14467.68209225464,8637.921875,172
2021-10-27,300,10,21923.0,19824.935546875,7492.8974609375,29293.865105957033,5033.1376953125,22405.728515625,65824.0,15475.45186707306,9013.546875,170
2021-10-28,301,10,68609.0,59222.2734375,31197.849609375,26741.589368774414,4771.11474609375,19163.486328125,60648.4609375,13713.048624046325,7427.90087890625,172
2021-10-29,302,10,76513.0,69343.4140625,56893.8828125,28582.26030834961,4507.22607421875,21478.111328125,61928.3046875,14894.011373569489,8637.921875,171
2021-10-30,303,10,67714.0,60438.54296875,37208.58203125,27093.491740234374,4384.32958984375,19294.080078125,60648.4609375,13802.03728671646,7589.4892578125,172
2021-10-31,304,10,50742.0,43894.61328125,21805.34375,26449.917659667968,4353.65478515625,19539.7607421875,60038.41015625,13821.772920467376,7244.635498046875,172
2021-11-01,305,11,15078.0,23978.125,8422.724609375,23055.3028671875,4007.643798828125,14195.380859375,57172.765625,11937.186235748291,5852.2392578125,171
2021-11-02,306,11,6425.0,5316.12109375,2791.509765625,24391.898808349608,4036.29931640625,15927.0830078125,57270.16171875002,12384.099275398254,6313.51416015625,171
2021-11-03,307,11,8753.0,10689.623046875,5272.61376953125,22193.40059777832,3995.0031005859382,13628.162109375,53312.1640625,11069.45694041443,5374.1103515625,172
2021-11-04,308,11,14567.194630872484,16654.4765625,7150.03515625,23902.202920288088,3606.808349609375,16824.185546875,53312.1640625,11726.731516960144,6387.98193359375,170
2021-11-05,309,11,5428.0,6379.08984375,2627.677978515625,21662.72237902832,3606.808349609375,14195.380859375,51294.0703125,10372.61125315857,5623.02001953125,172
2021-11-06,310,11,5267.0,6587.4658203125,3227.54931640625,20508.577043579102,3327.4114257812507,12933.3408203125,47380.01328125,9688.891168331147,5374.1103515625,171
2021-11-07,311,11,11316.0,10407.1015625,2552.406982421875,20112.703567382814,3416.97998046875,12380.3828125,48246.4453125,9392.847691719055,5211.950927734375,171
2021-11-08,312,11,9586.0,16911.91015625,5730.57861328125,20796.391048461915,3606.808349609375,14195.380859375,47526.62890625,9304.433209430694,5374.1103515625,172
2021-11-09,313,11,6107.0,7323.328125,4153.07080078125,18174.742810913085,3416.97998046875,11626.1982421875,45783.40234375,8132.556569759369,4657.430908203125,171
2021-11-10,314,11,60034.0,58089.296875,32869.30859375,19044.701911743163,3416.97998046875,11783.7255859375,46992.45703125,8582.087031906129,5167.1279296875,171
2021-11-11,315,11,10019.0,11872.1689453125,5574.931640625,17112.71870690918,3340.897216796875,9225.6728515625,45485.62890625,7677.676522590637,3848.798095703125,170
2021-11-12,316,11,11084.0,9918.833984375,4651.37255859375,17122.611813964842,2993.5234375,9636.3876953125,45485.62890625,7779.045690864563,3920.319091796875,170
