year_month,year,month,dominant_segment,train_rows,validation_rows,test_rows,metric_rows,mape,r2,rmse_wh,mae_wh,bias_wh,nrmse_observed_capacity_pct,actual_mean_wh,actual_p10_wh,actual_p50_wh,actual_p90_wh,prediction_mean_wh,clouds_all_mean,solar_elevation_mean_deg,ghi_roll_std_3h_mean
2019-04,2019,4,train,1627,0,0,1627,14.294441219310677,0.9746954035277813,240.64990946187328,139.8479241458785,-4.386083690975075,4.793822897646878,1808.0897357098954,106.20000000000005,1402.0,4028.0,1803.7036520189204,37.66564228641672,28.045617259319183,21.64622988657217
2019-05,2019,5,train,1888,0,0,1888,25.447596680786777,0.9496283653259432,282.19023332200743,183.55431000730496,-8.762604457910284,5.6213193888846105,1277.0953389830509,83.0,770.0,3381.7999999999997,1268.3327345251405,72.97722457627118,32.451900254469386,21.169132909442613
2019-06,2019,6,train,1851,0,0,1851,14.73448407837219,0.9719697989737806,230.3128511665839,138.00676507546112,-1.2797597852638,4.587905401724779,1615.1378056252242,86.0,1286.0,3689.0,1613.8580458399606,46.079956780118856,34.270726884485335,23.40209253085892
2019-07,2019,7,train,1908,0,0,1908,21.6891072080677,0.9335682183212104,302.36494602674134,197.83092207310085,-20.110362696010363,6.023206096150226,1290.5513626834381,93.40000000000003,909.5,3218.3,1270.4409999874279,63.927148846960165,33.28315053943955,21.133243240750172
2019-08,2019,8,train,1755,0,0,1755,22.811961710296487,0.9272544756185509,336.4743991111173,217.59369364178758,7.349152232846643,6.702677273129827,1436.6678062678063,105.4,1071.0,3455.000000000001,1444.016958500653,55.5977207977208,29.900944207671635,21.63090862265121
2019-09,2019,9,train,1429,0,0,1429,30.879967369279154,0.9392608706844147,296.2411847113784,190.82442519746516,-6.625106765474783,5.901218818951762,1161.627711686494,83.0,616.0,3236.8,1155.0026049210192,67.46186144156754,24.760638209385405,15.914213535961142
2019-10,2019,10,train,1225,0,0,1225,39.80055883464001,0.8568503284865431,396.87579513226683,254.84032258325695,-33.15973608522999,7.905892333312088,1009.6522448979592,73.0,568.0,2847.8,976.4925088127292,75.37632653061225,17.981843649911635,13.528148493873335
2019-11,2019,11,train,920,0,0,920,40.587232574974266,0.8629225413745554,258.7954797527328,139.82125189375617,-5.553837022250113,5.155288441289498,455.57173913043476,40.0,186.0,1316.1,450.01790210818467,84.375,12.215892498837396,8.361622604757397
2019-12,2019,12,train,835,0,0,835,34.1598492672387,0.92998611559504,207.27364686062543,119.82622014234165,-14.461572511752923,4.128957108777399,517.5532934131736,40.400000000000006,183.0,1969.0,503.09172090142073,74.74730538922155,8.884282334264952,7.032232979622298
2020-01,2020,1,train,869,0,0,869,37.13197640541289,0.9224975488612706,189.77371771035956,100.99386149418505,5.782526205543545,3.780352942437441,419.1691599539701,34.0,164.0,1083.4,424.9516861595136,74.92520138089759,10.612422326804014,6.773288071057804
2020-02,2020,2,train,1065,0,0,1065,45.94745621443372,0.8869324146238852,309.4192891302206,198.21903041869822,10.788969970365086,6.163730859167741,719.2976525821596,58.400000000000006,347.0,2194.4,730.0866225525247,80.22441314553991,15.544635913088163,12.19736499731869
2020-03,2020,3,train,1398,0,0,1398,28.913426222355003,0.9403612391921439,337.59688450884846,207.91866297838683,10.14535870210125,6.725037540016901,1460.4155937052933,81.0,912.0,3750.3,1470.5609524073946,57.201001430615165,21.98824600024145,18.210284017208078
2020-04,2020,4,train,1633,0,0,1633,15.63396714858412,0.9663792238879719,269.3654583448448,158.58419024126704,-0.9120944434707324,5.3658457837618485,1782.3570116350274,110.20000000000002,1469.0,4007.6,1781.444917191557,41.3692590324556,28.153182940423704,21.13584507921411
2020-05,2020,5,train,1874,0,0,1874,26.63169180820039,0.9459742275359564,301.78804909852647,191.1788686353916,9.843059670168156,6.011714125468655,1357.6915688367128,77.0,845.0,3568.3,1367.534628506881,61.74813233724653,32.262993747436646,22.3702458297181
2020-06,2020,6,train,1956,0,0,1956,18.826105321783192,0.9684313951531928,224.26889889116524,140.16009128499007,1.4891330645798662,4.467507946039148,1273.0889570552147,77.0,723.0,3457.0,1274.5780901197945,63.148261758691206,33.833256630695,21.3769131983687
2020-07,2020,7,train,1957,0,0,1957,27.148583012313658,0.9093065420084275,330.96846608667073,215.42751046870518,41.1956498745332,6.592997332403799,1186.1492079713848,91.0,838.0,3007.6000000000004,1227.3448578459179,65.39090444557996,33.206909541865016,23.298011802153056
2020-08,2020,8,train,971,789,0,1760,25.005413434598406,0.9402732586590576,311.370496957458,188.59639211053198,-4.239381686665795,6.202599540985219,1372.865340909091,86.9,856.5,3473.3,1368.625959222425,56.652272727272724,29.86305262554758,21.02325984355695
2020-09,2020,9,validation,0,1454,0,1454,26.37584006367677,0.9459258490065197,302.52742535467866,188.91816489568603,-11.228970823130549,6.026442736148977,1414.6203576341127,81.30000000000001,880.5,3465.7,1403.3913868109823,58.24346629986245,24.228389218064567,17.587752142925876
2020-10,2020,10,validation,0,1223,0,1223,38.12789608786768,0.8371684168790526,364.7573281197352,230.5803658114236,-1.2380473927601574,7.26608223346086,822.2240392477514,65.0,448.0,2271.5999999999995,820.9859918549913,81.78659035159444,17.78175291325659,12.969328826087327
2020-11,2020,11,validation,0,926,0,926,36.42324052903495,0.8492800068753764,292.81818233757963,157.00823860806986,-11.495519152985278,5.833031520668917,521.7051835853132,40.0,201.0,1757.5,510.2096644323279,82.33693304535637,11.981657115530615,8.478882018814511
2020-12,2020,12,validation,0,819,0,819,31.540072099389292,0.8716593453638318,212.08330898094619,113.09737412949913,-34.902097194913836,4.224767111174227,397.66422466422466,35.80000000000001,172.0,1157.0000000000002,362.7621274693108,88.44810744810745,8.990098627136256,6.424319866827885
2021-01,2021,1,validation,0,738,0,738,33.98607092236259,0.8680919730984087,216.61900994153805,109.51719754142813,14.282037469752758,4.315119719950957,335.33468834688347,16.0,80.0,905.6000000000008,349.61672581663623,81.12466124661246,11.376435527986253,8.22143492917465
2021-02,2021,2,validation,0,1037,0,1037,21.01842476727633,0.963103461718157,220.96920501701447,138.01663634471285,-32.00899861955597,4.401776992370806,1083.3355834136933,73.0,548.0,3122.6,1051.3265847941375,73.7569913211186,15.494062354414172,12.378087385795927
2021-03,2021,3,validation,0,1400,0,1400,32.23698289221465,0.9378012413010004,320.0165368748492,192.98405512554305,7.5743230324132105,6.374831411849585,1217.2692857142856,66.9,616.5,3490.2000000000003,1224.843608746699,64.15,22.20414827727273,17.002288818798572
2021-04,2021,4,validation,0,1614,0,1614,29.785467315946292,0.9156902139052177,357.76392542699745,228.8989654732164,11.66276103398466,7.126771422848554,1285.5198265179679,74.30000000000001,824.0,3403.6000000000004,1297.1825875519523,63.573110285006194,28.18973622716034,20.885284909286554
2021-05,2021,5,validation,0,1891,0,1891,24.856466169361145,0.9369907175837615,304.4149713803545,197.13474168022873,0.7409000780329006,6.064043254588734,1315.9899524061343,90.0,878.0,3334.0,1316.7308524841671,64.46853516657853,32.34771546361384,23.163581179142046
2021-06,2021,6,validation,0,1974,0,1974,20.28138916974396,0.9673794119274002,229.70394959893025,140.01296130790476,20.268314340330186,4.575775888424905,1350.9417426545085,79.30000000000001,856.5,3471.5,1371.2100569948389,52.858156028368796,33.45456908583025,20.78288406495916
2021-07,2021,7,test,0,843,1123,1966,28.76502483636693,0.8585036575866276,427.0525529657618,248.97032622412408,-1.2064678708692047,8.507022967445453,1200.0671414038657,96.0,749.0,3100.5,1198.8606735329965,70.64038657171923,33.07782185123126,21.473862314734653
2021-08,2021,8,test,0,0,1745,1745,41.41686639036259,0.7607264660718025,527.8335532772903,331.8967835066995,0.21496085177861518,10.514612615085465,1151.1558739255015,84.0,800.0,2899.6000000000004,1151.3708347772802,74.04240687679084,29.844676146387336,19.46544413809331
2021-09,2021,9,test,0,0,1450,1450,40.25437803349471,0.8457585114051654,447.5185617724285,277.7233199527346,22.865586618883857,8.914712385904949,1149.5248275862068,76.0,701.5,3177.0,1172.3904142050908,72.09517241379311,24.456174495494945,16.049769628688384
