simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
156,19961412.736328125,12747145.527557373,19961.412736328126,12747.145527557373
157,18999183.356933594,11752561.381027222,18999.183356933594,11752.561381027223
158,20072165.939331055,12612777.534038544,20072.165939331055,12612.777534038543
159,18688749.814941406,11551929.544124603,18688.749814941406,11551.929544124603
160,19467246.880249023,12218219.812919617,19467.246880249022,12218.219812919617
161,19767688.376953125,12460305.63646698,19767.688376953123,12460.30563646698
162,20295997.10699463,13145453.703646183,20295.99710699463,13145.453703646182
163,19309826.228027344,12202910.985745668,19309.826228027345,12202.910985745668
164,20174006.645507812,12647278.846233368,20174.006645507812,12647.278846233368
165,19563345.232910156,12309547.911514282,19563.345232910156,12309.547911514283
166,19201871.946166992,11846491.569709778,19201.871946166993,11846.491569709779
167,19920745.767333984,12839005.874629974,19920.745767333985,12839.005874629975
168,19763662.52709961,12524436.111068726,19763.66252709961,12524.436111068726
169,19953951.68774414,12785334.524681091,19953.951687744142,12785.334524681091
170,18802220.87512207,11831389.345912933,18802.22087512207,11831.389345912934
171,19462978.385131836,12360769.498474121,19462.978385131835,12360.769498474121
172,18924888.8203125,11753700.389762878,18924.8888203125,11753.700389762878
173,18537252.27709961,11487585.984441042,18537.25227709961,11487.585984441042
174,19058827.357299805,11638346.311264038,19058.827357299804,11638.346311264038
175,19370404.56994629,12165610.682201385,19370.404569946288,12165.610682201386
176,19894520.397338867,12871809.44955182,19894.520397338867,12871.80944955182
177,19476767.029907227,12300276.209188938,19476.767029907227,12300.276209188938
178,18459566.10107422,11436371.979598999,18459.56610107422,11436.371979598998
179,20374802.741088867,13092189.189819336,20374.802741088868,13092.189189819335
180,19349847.72644043,12052939.625061035,19349.84772644043,12052.939625061035
181,19399925.32196045,12110051.76436615,19399.92532196045,12110.05176436615
182,19468571.471191406,12438784.506454468,19468.571471191408,12438.784506454467
183,19463992.472473145,12443360.925865173,19463.992472473146,12443.360925865174
184,19258127.64074707,12131968.066716433,19258.12764074707,12131.968066716432
185,20387964.8560791,13204428.67416501,20387.964856079103,13204.42867416501
186,19023396.76373291,12080528.201276064,19023.39676373291,12080.528201276064
187,19825192.825683594,12756036.799804688,19825.192825683593,12756.036799804688
188,18895091.74157715,12054730.789978027,18895.091741577147,12054.730789978028
189,19626768.271850586,12604231.889175415,19626.768271850586,12604.231889175415
190,19335419.32446289,12277102.433616638,19335.41932446289,12277.102433616637
191,19453104.00817871,12328783.138961792,19453.10400817871,12328.783138961791
192,19033520.19403076,11934091.565605164,19033.520194030763,11934.091565605164
193,19292225.64099121,12090638.051254272,19292.22564099121,12090.638051254273
194,19426288.5045166,12427911.721370697,19426.2885045166,12427.911721370698
195,18862404.39453125,12005491.21270752,18862.40439453125,12005.49121270752
196,18919045.10888672,12072058.463623047,18919.04510888672,12072.058463623047
197,18701616.287475586,11651301.516319275,18701.616287475586,11651.301516319274
198,18884598.068603516,11955795.797943115,18884.598068603515,11955.795797943116
199,19796958.505615234,12536969.127090454,19796.958505615235,12536.969127090455
200,19315364.92590332,12407198.97038269,19315.36492590332,12407.198970382691
201,20064794.586975098,12986200.536872864,20064.7945869751,12986.200536872864
202,19831386.65283203,12722141.410413027,19831.386652832032,12722.141410413027
203,19053905.642578125,12418479.21659851,19053.905642578124,12418.47921659851
204,19791345.305786133,12653711.149291992,19791.345305786133,12653.711149291992
205,18827431.225341797,11742027.611198425,18827.431225341796,11742.027611198426
206,19645608.905395508,12448205.324733734,19645.608905395507,12448.205324733734
207,19851195.649658203,12603238.031074524,19851.195649658202,12603.238031074525
208,20432020.17224121,12908542.330810547,20432.02017224121,12908.542330810547
209,19730980.123046875,12568771.419326782,19730.980123046877,12568.771419326782
210,19855856.135620117,12598919.897748232,19855.856135620117,12598.919897748232
211,19181925.858398438,11763578.252944946,19181.925858398437,11763.578252944946
212,19497171.77282715,12454831.547470093,19497.171772827147,12454.831547470092
213,19322205.463989258,12056533.854507446,19322.20546398926,12056.533854507446
214,19161010.126098633,11985380.862937927,19161.010126098634,11985.380862937927
215,19325447.9642334,11974776.204833984,19325.447964233397,11974.776204833985
216,19409215.289489746,12141601.402702332,19409.215289489744,12141.601402702332
217,19291499.365234375,12066378.33078003,19291.499365234376,12066.37833078003
218,19799759.602783203,12686919.590881348,19799.759602783204,12686.919590881347
219,19166043.70690918,11933882.981712341,19166.04370690918,11933.88298171234
220,19460027.415039062,12276876.153297424,19460.02741503906,12276.876153297424
221,19669844.8203125,12607810.448425293,19669.8448203125,12607.810448425293
222,19453984.56311035,12122274.846355438,19453.984563110353,12122.274846355438
223,18960272.1607666,12054685.61631012,18960.272160766603,12054.68561631012
224,19862160.197265625,12427576.763043642,19862.160197265624,12427.576763043642
225,19844367.84350586,12706305.67022705,19844.36784350586,12706.305670227051
226,19974026.29815674,12849592.652486086,19974.02629815674,12849.592652486086
227,19220831.11682129,12192942.017150879,19220.83111682129,12192.94201715088
228,19155762.196777344,11951792.621917725,19155.762196777345,11951.792621917724
229,18672096.024169922,11836926.96352768,18672.09602416992,11836.92696352768
230,19875320.471984863,12787891.567390442,19875.32047198486,12787.891567390441
231,19771439.46032715,12302095.67502594,19771.439460327147,12302.09567502594
232,19076382.004760742,12189140.85923767,19076.38200476074,12189.14085923767
233,19605560.102661133,12298784.325222015,19605.560102661133,12298.784325222015
234,19698338.377685547,12523866.766738892,19698.338377685548,12523.86676673889
235,19813622.862182617,12412990.911346436,19813.622862182616,12412.990911346436
236,18709903.133544922,11903639.150691986,18709.90313354492,11903.639150691986
237,19776905.25177002,12523279.202579498,19776.90525177002,12523.279202579499
238,20582686.651489258,13185635.65332532,20582.686651489257,13185.63565332532
239,19051752.264526367,11710888.982849121,19051.752264526367,11710.888982849121
240,19963780.123168945,12959073.852584839,19963.780123168945,12959.07385258484
241,19369168.39794922,12201932.801442385,19369.16839794922,12201.932801442385
242,19439476.135864258,12199291.183732271,19439.476135864257,12199.291183732272
243,19859469.02746582,12781906.395501375,19859.46902746582,12781.906395501375
244,19776745.052001953,12655995.750534058,19776.745052001952,12655.995750534057
245,19247812.165283203,12124527.6566391,19247.8121652832,12124.527656639098
246,19191242.19091797,12237668.763008118,19191.24219091797,12237.668763008118
247,18395915.413208008,11499441.99053955,18395.915413208008,11499.441990539552
248,19165018.30065918,12188942.65008545,19165.01830065918,12188.94265008545
249,19234556.02697754,12244747.718421936,19234.556026977538,12244.747718421935
250,19532817.338256836,12389223.315681458,19532.817338256835,12389.223315681458
251,19792470.964172363,12565829.410351992,19792.470964172364,12565.829410351991
252,19515185.92553711,12107550.288330078,19515.18592553711,12107.550288330078
253,20172152.353271484,13154918.549331665,20172.152353271485,13154.918549331665
254,18539088.069213867,11487881.437156677,18539.088069213867,11487.881437156677
255,18435362.959350586,11454766.495056152,18435.362959350587,11454.766495056152
256,19293529.772338867,12356272.91993332,19293.52977233887,12356.272919933319
257,18970698.264526367,11733964.654182434,18970.698264526367,11733.964654182435
258,18794919.341796875,11402031.895355225,18794.919341796875,11402.031895355225
259,19624965.52307129,12503257.447231293,19624.96552307129,12503.257447231294
260,19833523.43798828,13027770.530190706,19833.523437988282,13027.770530190706
261,19969317.299194336,13127993.608441591,19969.317299194336,13127.993608441591
262,20030558.7288208,12921650.788578033,20030.5587288208,12921.650788578034
263,19712976.145629883,12832448.91444397,19712.976145629884,12832.44891444397
264,19394106.946777344,12276635.93755722,19394.106946777345,12276.635937557221
265,20082202.00378418,12753671.796203613,20082.20200378418,12753.671796203613
266,19205241.008483887,11885503.157517672,19205.24100848389,11885.50315751767
267,19845711.427124023,12641482.182670593,19845.711427124024,12641.482182670594
268,19397986.720581055,12215694.057739258,19397.986720581055,12215.694057739258
269,19049420.720947266,12107234.000492096,19049.420720947266,12107.234000492095
270,18814266.50805664,11802210.64237976,18814.26650805664,11802.210642379761
271,19640711.96508789,12378011.04245758,19640.711965087892,12378.011042457581
272,19035622.310058594,11971487.91515851,19035.622310058592,11971.48791515851
273,19435974.368408203,12353025.598876953,19435.974368408202,12353.025598876953
274,19865659.459899902,12497758.128494263,19865.659459899904,12497.758128494263
275,19711074.680419922,12689015.910636902,19711.074680419923,12689.015910636901
276,20147137.26953125,12801414.999351501,20147.13726953125,12801.414999351502
277,19136108.47027588,12160801.06464386,19136.108470275878,12160.80106464386
278,18991150.835083008,11585143.286689758,18991.150835083008,11585.143286689758
279,19941919.368041992,12737117.484673738,19941.919368041992,12737.117484673738
280,19374262.04321289,11767846.205594301,19374.26204321289,11767.846205594302
281,19291761.367614746,12086410.399345398,19291.761367614745,12086.410399345397
282,19812141.92956543,12738951.74194336,19812.14192956543,12738.95174194336
283,19005815.362548828,11895379.202877045,19005.815362548827,11895.379202877044
284,18968526.00982666,11607189.138999939,18968.52600982666,11607.189138999938
285,19116328.219970703,12073699.992627382,19116.328219970703,12073.699992627382
286,20312284.950073242,13034495.967224121,20312.28495007324,13034.49596722412
287,19411066.553833008,12384157.984352112,19411.066553833007,12384.157984352112
288,18642836.146606445,11626935.365185976,18642.836146606445,11626.935365185976
289,18092679.778320312,10957339.543491364,18092.67977832031,10957.339543491364
290,18791221.899353027,11660134.564933777,18791.221899353026,11660.134564933776
